Customer_ID_number,OrderDate,Items,ItemCategory,Gender,Geographic location,Purchase History,ProductPrice,OrderQuantity,OrderNumber,PaymentMethod,Age
1559,5/3/2025,Plantain Chips,Snack,M,Surulere,7/5/2023,1500,2,SO27213,Debit card,71
2900,4/2/2025,Hollandia Yoghurt,Beverage,M,Lagos Island,3/21/2025,1500,4,SO12885,Debit card,38
1905,5/8/2025,Chin Chin,Snack,F,Ilupeju,11/13/2024,1800,1,SO63768,Cash Payment,21
3527,1/16/2025,Fayrouz,Beverage,F,Ikotun,8/7/2023,500,8,SO63158,Bank transfer,76
1495,5/25/2025,Coca-Cola,Beverage,M,Festac town,4/10/2022,500,2,SO28652,Debit card,62
3558,4/12/2025,Beans,Food,F,Fadeyi,10/10/2022,12000,4,SO78081,Bank transfer,50
3128,5/26/2025,Bournvita,Beverage,M,Agege,5/21/2023,1150,3,SO98362,Bank transfer,66
1863,2/17/2025,Indomie Instant Noodles,Food,M,Festac town,3/25/2022,250,2,SO18503,Cash Payment,80
3841,2/4/2025,Always Sanitary Pad,Toiletries,F,Ikeja,9/21/2022,950,8,SO25790,Debit card,39
3903,3/3/2025,Fayrouz,Beverage,F,Yaba,1/9/2022,500,1,SO11634,Cash Payment,52
2658,5/22/2025,Peak Milk,Dairy,M,Festac town,7/25/2023,350,8,SO82834,Cash Payment,78
4272,1/30/2025,Close-Up Toothpaste,Personal Care,F,Mushin,3/24/2022,1736,10,SO40826,Bank transfer,32
1120,2/2/2025,Hollandia Yoghurt,Beverage,F,Ogba,7/9/2022,1500,10,SO73614,Bank transfer,71
2676,3/12/2025,Semovita,Food,M,Mushin,9/3/2022,3400,7,SO32370,Bank transfer,54
1697,2/18/2025,Oral-B Toothbrush,Personal Care,M,Sangotedo,3/16/2023,1147,3,SO45870,Debit card,27
2507,1/3/2025,Coca-Cola,Beverage,M,Badore,5/11/2025,500,8,SO56614,Bank transfer,44
4620,1/22/2025,Bournvita,Beverage,F,Fagba,1/31/2024,1150,3,SO92011,Cash Payment,70
3365,3/8/2025,Fayrouz,Beverage,M,Ikotun,7/13/2024,500,9,SO93821,Cash Payment,60
2978,1/22/2025,Lux Soap,Personal Care,F,Ibeju lekki,2/14/2024,1006,7,SO57869,Cash Payment,29
2910,2/12/2025,Dove Body Wash,Personal Care,F,Sangotedo,12/14/2023,1778,8,SO82114,Debit card,23
1061,3/5/2025,Golden Morn,Food,M,Ikotun,1/9/2024,950,9,SO52287,Debit card,37
3276,3/2/2025,Golden Morn,Food,M,Shomolu,3/20/2025,950,7,SO66248,Debit card,54
1326,5/21/2025,Sugar,Food,M,Festac town,5/1/2023,1000,1,SO36117,Bank transfer,38
3023,3/3/2025,Semovita,Food,F,Mushin,1/28/2022,3400,2,SO32867,Bank transfer,28
2185,1/25/2025,Lux Soap,Personal Care,M,Oshodi,5/7/2023,1006,1,SO79853,Bank transfer,45
3552,3/4/2025,Semovita,Food,F,Ikorodu,1/30/2024,3400,6,SO96504,Cash Payment,47
1967,5/25/2025,Maggi Cubes,Food Seasoning,M,Ibeju lekki,5/1/2023,700,10,SO18373,Bank transfer,63
4708,5/30/2025,Bournvita,Beverage,M,Agege,6/19/2024,1150,1,SO83792,Debit card,19
2874,5/9/2025,Bournvita,Beverage,F,Ikeja,11/1/2024,1150,5,SO59257,Cash Payment,62
4177,5/16/2025,Gala Sausage Roll,Snack,M,Agege,10/4/2024,500,6,SO34895,Debit card,34
1663,4/26/2025,Semovita,Food,F,Fadeyi,12/26/2024,3400,8,SO44202,Bank transfer,57
2632,5/20/2025,Golden Morn,Food,M,Badore,2/14/2023,950,1,SO91860,Cash Payment,28
1377,3/12/2025,Vaseline Blue Seal,Personal Care,M,Ketu,4/22/2024,2000,6,SO78445,Debit card,67
4162,5/22/2025,Dettol Soap,Personal Care,F,Ikotun,11/18/2022,1722,3,SO88216,Bank transfer,32
2270,2/5/2025,Bournvita,Beverage,F,Ketu,5/31/2023,1150,10,SO18812,Bank transfer,36
4829,4/28/2025,Indomie Instant Noodles,Food,F,Ikorodu,1/10/2025,250,7,SO14986,Cash Payment,21
3811,5/25/2025,Dettol Soap,Personal Care,M,Shomolu,2/12/2025,1722,6,SO53445,Bank transfer,26
4766,1/3/2025,Golden Morn,Food,F,Badore,4/13/2025,950,1,SO19260,Bank transfer,70
2436,2/9/2025,Gala Sausage Roll,Snack,F,Ikorodu,10/6/2022,500,4,SO37296,Cash Payment,80
3860,1/17/2025,Golden Morn,Food,F,Mafoluku,9/7/2022,950,4,SO59824,Debit card,39
4875,2/21/2025,Nivea Roll-On,Personal Care,F,Ikeja,5/16/2023,1299,10,SO88610,Bank transfer,20
1587,3/19/2025,Maggi Cubes,Food Seasoning,M,Ikotun,3/25/2024,700,1,SO85669,Cash Payment,29
4038,5/7/2025,Beans,Food,F,Yaba,5/3/2024,12000,3,SO84471,Cash Payment,18
4750,2/26/2025,Shea Butter,Personal Care,F,Mafoluku,5/12/2022,1855,3,SO47881,Cash Payment,61
1199,2/1/2025,Hand Sanitizer,Personal Care,M,Sangotedo,3/18/2022,1843,6,SO66919,Cash Payment,30
1603,5/2/2025,Sunlight Detergent,Cleaning,F,Lagos Island,1/11/2023,1251,7,SO21227,Debit card,20
3111,4/21/2025,Salt,Food,M,Festac town,10/2/2022,500,9,SO46019,Cash Payment,80
3894,5/20/2025,Coca-Cola,Beverage,F,Fagba,5/16/2023,500,1,SO83520,Cash Payment,48
1456,2/24/2025,Coca-Cola,Beverage,M,Ilupeju,4/23/2024,500,7,SO69658,Debit card,19
2022,4/26/2025,Omo Detergent,Cleaning,F,Fagba,5/31/2023,1338,9,SO30785,Cash Payment,58
2505,5/27/2025,Dano Milk,Dairy,M,Ketu,5/21/2024,120,2,SO75379,Cash Payment,48
4851,5/13/2025,Bournvita,Beverage,M,Fagba,7/29/2024,1150,8,SO17174,Debit card,56
4293,3/24/2025,Close-Up Toothpaste,Personal Care,F,Festac town,3/23/2022,1736,9,SO18747,Cash Payment,60
2775,5/14/2025,Eva Water,Beverage,F,Lakowe,4/15/2023,400,5,SO28946,Debit card,45
3693,4/25/2025,Always Sanitary Pad,Toiletries,M,Iganmu,3/29/2023,950,5,SO63897,Debit card,74
1202,2/18/2025,Jik Bleach,Cleaning,F,Ketu,1/9/2022,1442,2,SO25479,Debit card,20
3699,1/15/2025,Always Sanitary Pad,Toiletries,F,Iyana ipaja,8/20/2024,950,7,SO38242,Debit card,47
4152,5/24/2025,Chin Chin,Snack,F,Fadeyi,11/29/2024,1800,10,SO94566,Bank transfer,63
4155,4/9/2025,Beans,Food,F,Ibeju lekki,6/15/2022,12000,5,SO75576,Cash Payment,19
4010,4/16/2025,Eva Water,Beverage,M,Fagba,9/1/2023,400,5,SO27883,Bank transfer,20
4389,1/16/2025,Hypo Bleach,Cleaning,M,Agege,9/18/2023,1603,1,SO11741,Bank transfer,45
3746,3/23/2025,Dettol Antiseptic,Cleaning,F,Oshodi,1/25/2024,1533,6,SO69458,Cash Payment,20
2560,5/21/2025,Bournvita,Beverage,F,Iyana ipaja,8/8/2022,1150,7,SO94091,Cash Payment,47
1503,4/1/2025,Bobo Yogurt,Beverage,M,Lagos Island,4/9/2025,1000,8,SO76131,Debit card,39
2555,4/2/2025,Golden Morn,Food,M,Mafoluku,10/21/2023,950,6,SO83605,Bank transfer,54
3645,3/10/2025,Beans,Food,M,Mafoluku,7/27/2022,12000,10,SO69894,Cash Payment,48
3886,3/16/2025,Jik Bleach,Cleaning,M,Mafoluku,6/3/2023,1442,8,SO51585,Bank transfer,71
2932,5/18/2025,Bournvita,Beverage,F,Shomolu,5/8/2025,1150,9,SO67726,Debit card,45
1711,4/30/2025,Gala Sausage Roll,Snack,M,Ikotun,4/14/2022,500,6,SO40551,Debit card,67
4291,2/4/2025,Bournvita,Beverage,M,Lagos Island,2/3/2025,1150,6,SO86557,Bank transfer,56
1143,3/21/2025,Jik Bleach,Cleaning,M,Ibeju lekki,1/12/2023,1442,3,SO84239,Bank transfer,58
4564,5/21/2025,Semovita,Food,M,Surulere,4/12/2024,3400,7,SO78458,Cash Payment,27
3337,1/14/2025,Plantain Chips,Snack,F,Iyana ipaja,11/3/2024,1500,6,SO11901,Debit card,47
4931,3/23/2025,Golden Morn,Food,M,Yaba,8/20/2022,950,10,SO17057,Debit card,24
2623,1/31/2025,Rexona Air Freshener,Cleaning,F,Fadeyi,6/2/2024,1861,9,SO98117,Cash Payment,74
4581,2/22/2025,Indomie Instant Noodles,Food,M,Ogba,7/8/2022,250,6,SO73538,Bank transfer,49
2635,1/25/2025,Gala Sausage Roll,Snack,F,Ilupeju,7/1/2024,500,7,SO73241,Cash Payment,59
1095,4/18/2025,Sugar,Food,F,Lakowe,4/20/2024,1000,6,SO28084,Bank transfer,20
2990,1/30/2025,Golden Morn,Food,F,Lagos Island,11/8/2023,950,2,SO39931,Cash Payment,69
2426,1/11/2025,Always Sanitary Pad,Toiletries,F,Ilupeju,12/17/2023,950,7,SO49824,Debit card,51
4555,5/20/2025,Beans,Food,F,Oshodi,10/13/2023,12000,2,SO51946,Cash Payment,77
3635,4/24/2025,Indomie Instant Noodles,Food,M,Ikorodu,2/19/2024,250,7,SO44371,Bank transfer,79
3058,5/12/2025,Nescafe Coffee,Beverage,F,Ibeju lekki,9/12/2023,700,3,SO52213,Bank transfer,73
4391,4/12/2025,Nescafe Coffee,Beverage,F,Mushin,10/19/2024,700,1,SO94975,Cash Payment,24
1306,2/3/2025,Golden Morn,Food,M,Shomolu,6/16/2022,950,9,SO99357,Debit card,78
1024,1/17/2025,Harpic Toilet Cleaner,Cleaning,F,Lagos Island,8/30/2024,1945,1,SO46940,Cash Payment,43
1295,2/18/2025,Gala Sausage Roll,Snack,F,Sangotedo,5/27/2024,500,5,SO34768,Cash Payment,51
1661,5/5/2025,Sugar,Food,F,Fagba,3/22/2025,1000,9,SO88608,Cash Payment,34
4591,4/10/2025,Hollandia Yoghurt,Beverage,F,Mafoluku,11/2/2024,1500,7,SO70936,Debit card,76
3169,3/4/2025,Maggi Cubes,Food Seasoning,M,Agege,11/5/2024,700,10,SO48909,Bank transfer,26
3915,4/4/2025,Oral-B Toothbrush,Personal Care,F,Ketu,6/4/2022,1147,1,SO61059,Bank transfer,65
1127,1/23/2025,Gala Sausage Roll,Snack,F,Iganmu,2/10/2022,500,3,SO89234,Debit card,23
4828,1/5/2025,Sponge (Pack),Cleaning,M,Oshodi,10/29/2023,1512,1,SO95206,Cash Payment,22
3683,5/8/2025,Bread (Small Loaf),Food,F,Mushin,2/18/2024,1300,6,SO56101,Cash Payment,60
1971,3/20/2025,Bournvita,Beverage,F,Fadeyi,5/22/2024,1150,10,SO96490,Debit card,40
3014,3/13/2025,Vaseline Blue Seal,Personal Care,M,Surulere,4/24/2023,2000,7,SO10096,Bank transfer,68
3779,3/14/2025,Gala Sausage Roll,Snack,F,Ketu,8/7/2023,500,2,SO93201,Cash Payment,42
2489,2/3/2025,Golden Morn,Food,M,Ikorodu,4/26/2024,950,1,SO49985,Debit card,73
3564,2/11/2025,Morning Fresh Dishwash,Cleaning,M,Agege,12/1/2023,1451,9,SO63456,Bank transfer,79
4092,4/1/2025,Always Sanitary Pad,Toiletries,M,Mafoluku,11/6/2023,950,8,SO50575,Debit card,22
3221,3/16/2025,Local Broom,Cleaning,F,Agege,9/22/2023,1579,2,SO60981,Bank transfer,29
1279,4/18/2025,Indomie Instant Noodles,Food,M,Lagos Island,2/12/2024,250,5,SO46240,Bank transfer,76
2581,1/21/2025,Jik Bleach,Cleaning,M,Sangotedo,7/14/2024,1442,9,SO44339,Bank transfer,60
2295,2/28/2025,Semovita,Food,M,Shomolu,5/9/2023,3400,5,SO68649,Cash Payment,38
4760,1/27/2025,Fayrouz,Beverage,F,Ikorodu,10/10/2022,500,5,SO10166,Cash Payment,57
3649,5/9/2025,Fayrouz,Beverage,M,Fagba,2/18/2023,500,4,SO91992,Bank transfer,74
1075,5/21/2025,Gala Sausage Roll,Snack,F,Ikotun,7/23/2024,500,5,SO92644,Bank transfer,19
3987,3/14/2025,Maggi Cubes,Food Seasoning,F,Iganmu,11/28/2024,700,10,SO88691,Cash Payment,57
4106,1/17/2025,Golden Morn,Food,F,Fadeyi,6/8/2024,950,8,SO99951,Bank transfer,80
4338,1/13/2025,Golden Morn,Food,M,Fadeyi,2/24/2023,950,6,SO67878,Debit card,29
4166,4/13/2025,Beans,Food,F,Ogba,4/19/2022,12000,8,SO31373,Debit card,59
1211,4/1/2025,Gala Sausage Roll,Snack,F,Fagba,1/16/2025,500,10,SO15576,Debit card,41
3954,1/17/2025,Gala Sausage Roll,Snack,F,Lakowe,5/21/2022,500,3,SO89758,Cash Payment,22
3928,2/15/2025,Peak Milk,Dairy,M,Yaba,9/23/2023,350,5,SO62649,Bank transfer,77
3827,4/12/2025,Nescafe Coffee,Beverage,M,Mafoluku,1/31/2025,700,3,SO79879,Cash Payment,71
4699,2/20/2025,Pampers Baby-Dry,Baby Products,M,Ibeju lekki,2/4/2023,5100,1,SO78459,Bank transfer,72
4747,1/20/2025,Maggi Cubes,Food Seasoning,M,Lakowe,10/11/2024,700,8,SO77470,Bank transfer,22
3028,2/7/2025,Bournvita,Beverage,F,Shomolu,8/12/2022,1150,8,SO41927,Debit card,23
2851,1/25/2025,Semovita,Food,M,Ilupeju,7/4/2023,3400,3,SO27027,Debit card,21
4417,1/31/2025,Dettol Antiseptic,Cleaning,M,Shomolu,1/9/2024,1533,5,SO42672,Cash Payment,18
3822,5/29/2025,Coca-Cola,Beverage,M,Ikotun,6/30/2022,500,3,SO53152,Cash Payment,36
2288,1/10/2025,Close-Up Toothpaste,Personal Care,M,Lagos Island,8/19/2022,1736,5,SO50658,Debit card,72
2184,2/8/2025,Johnson's Baby Lotion,Baby Products,F,Ogba,10/24/2023,6812,2,SO54543,Bank transfer,24
4554,5/22/2025,Golden Morn,Food,F,Surulere,3/28/2025,950,7,SO89430,Debit card,32
3361,1/31/2025,Indomie Instant Noodles,Food,F,Ogba,10/22/2022,250,2,SO92624,Cash Payment,30
2999,5/24/2025,Plantain Chips,Snack,F,Ketu,12/1/2022,1500,2,SO51810,Bank transfer,67
2614,5/15/2025,Golden Morn,Food,F,Shomolu,4/10/2025,950,5,SO17980,Cash Payment,64
4064,1/14/2025,Gala Sausage Roll,Snack,M,Ilupeju,10/26/2023,500,8,SO11327,Debit card,56
3567,2/7/2025,Indomie Instant Noodles,Food,F,Ketu,7/25/2023,250,10,SO24920,Debit card,68
2587,5/11/2025,Fayrouz,Beverage,M,Ilupeju,3/4/2025,500,9,SO46297,Cash Payment,34
3783,5/19/2025,Baby Oil,Baby Products,M,Mushin,4/2/2022,8246,9,SO13419,Debit card,44
1923,5/31/2025,Huggies Baby Wipes,Baby Products,M,Festac town,9/5/2024,8052,1,SO77017,Debit card,27
4835,1/22/2025,Nescafe Coffee,Beverage,F,Lakowe,10/23/2023,700,8,SO13006,Debit card,48
1514,3/8/2025,Golden Morn,Food,F,Fadeyi,5/10/2024,950,7,SO74772,Cash Payment,80
3154,1/11/2025,Baby Oil,Baby Products,M,Festac town,5/29/2022,8246,6,SO26459,Cash Payment,36
1313,1/7/2025,Maggi Cubes,Food Seasoning,F,Ilupeju,2/10/2023,700,5,SO84825,Cash Payment,52
2794,3/1/2025,Lux Soap,Personal Care,F,Oshodi,12/26/2023,1006,6,SO71888,Cash Payment,70
2359,3/13/2025,Maggi Cubes,Food Seasoning,F,Lagos Island,1/29/2025,700,1,SO18607,Bank transfer,74
2238,3/4/2025,Local Broom,Cleaning,F,Iyana ipaja,10/1/2024,1579,2,SO33345,Debit card,28
3795,4/30/2025,Diaper Rash Cream,Baby Products,M,Fagba,4/5/2024,8148,4,SO18285,Cash Payment,69
3724,1/22/2025,Local Broom,Cleaning,M,Ilupeju,9/5/2023,1579,6,SO30688,Debit card,26
1152,3/11/2025,Golden Morn,Food,F,Fagba,3/19/2022,950,8,SO87173,Debit card,47
4559,3/20/2025,Golden Morn,Food,F,Oshodi,7/24/2023,950,5,SO17360,Bank transfer,30
3922,3/14/2025,Cerelac,Baby Products,M,Mafoluku,3/23/2024,8540,1,SO32744,Bank transfer,57
1709,2/6/2025,Bournvita,Beverage,F,Mafoluku,4/10/2024,1150,9,SO79651,Bank transfer,73
2219,5/7/2025,Maggi Cubes,Food Seasoning,F,Oshodi,7/1/2023,700,3,SO91878,Cash Payment,26
2206,3/19/2025,Lux Soap,Personal Care,F,Iganmu,3/1/2022,1006,5,SO63956,Cash Payment,42
1752,2/2/2025,Maggi Cubes,Food Seasoning,M,Yaba,6/29/2023,700,2,SO90536,Bank transfer,20
3942,1/10/2025,Maggi Cubes,Food Seasoning,F,Iyana ipaja,2/4/2025,700,6,SO91042,Debit card,69
3296,2/11/2025,Jik Bleach,Cleaning,F,Mafoluku,10/13/2023,1442,6,SO66692,Bank transfer,59
2257,4/4/2025,Omo Detergent,Cleaning,M,Lagos Island,10/14/2024,1338,5,SO39655,Bank transfer,51
4313,2/17/2025,Gala Sausage Roll,Snack,M,Yaba,9/23/2024,500,4,SO50657,Debit card,19
2001,3/9/2025,Semovita,Food,M,Iyana ipaja,9/15/2022,3400,7,SO99144,Cash Payment,27
2449,3/15/2025,Local Broom,Cleaning,F,Ikorodu,1/27/2024,1579,7,SO47317,Debit card,49
4914,2/13/2025,Gala Sausage Roll,Snack,M,Yaba,12/3/2024,500,8,SO52174,Bank transfer,20
2764,1/5/2025,Maggi Cubes,Food Seasoning,M,Ogba,2/24/2023,700,3,SO17405,Cash Payment,80
4187,5/26/2025,Friso Gold Milk,Baby Products,F,Yaba,6/27/2022,5884,9,SO52832,Cash Payment,62
1392,1/8/2025,Bread (Small Loaf),Food,M,Ogba,4/22/2023,1300,8,SO24825,Debit card,76
3427,1/14/2025,Local Broom,Cleaning,F,Sangotedo,1/1/2023,1579,4,SO40976,Cash Payment,56
1411,3/30/2025,Gala Sausage Roll,Snack,F,Festac town,11/5/2022,500,2,SO94736,Debit card,67
3390,5/20/2025,Jik Bleach,Cleaning,F,Ilupeju,1/11/2025,1442,1,SO82740,Cash Payment,39
4787,5/25/2025,Plantain Chips,Snack,F,Fadeyi,4/12/2025,1500,9,SO58787,Cash Payment,44
3310,5/26/2025,Fayrouz,Beverage,M,Badore,5/30/2022,500,1,SO45049,Cash Payment,23
1782,1/6/2025,Eva Water,Beverage,M,Ibeju lekki,2/17/2025,400,7,SO79897,Debit card,71
3375,2/6/2025,Gala Sausage Roll,Snack,M,Fagba,1/12/2025,500,1,SO84956,Cash Payment,57
2760,1/31/2025,Bournvita,Beverage,M,Ilupeju,1/16/2022,1150,5,SO85345,Cash Payment,32
4249,2/5/2025,Fayrouz,Beverage,M,Ibeju lekki,1/19/2023,500,3,SO64378,Debit card,32
2904,3/23/2025,Baby Feeding Bottle,Baby Products,F,Ikorodu,4/24/2024,5520,7,SO97108,Cash Payment,20
4090,2/24/2025,Local Broom,Cleaning,M,Surulere,10/29/2024,1579,2,SO42266,Bank transfer,35
3060,3/23/2025,Fayrouz,Beverage,M,Fagba,4/28/2022,500,5,SO19871,Cash Payment,46
3768,5/2/2025,Golden Morn,Food,F,Yaba,5/8/2023,950,4,SO84194,Debit card,19
1232,3/30/2025,Semovita,Food,F,Ibeju lekki,7/15/2022,3400,4,SO71250,Debit card,56
1360,2/14/2025,Eva Water,Beverage,M,Mushin,3/15/2024,400,6,SO94073,Bank transfer,56
1107,3/24/2025,Beans,Food,M,Fagba,3/2/2024,12000,8,SO74917,Bank transfer,57
2865,5/6/2025,Rice,Food,M,Badore,1/25/2025,25000,3,SO91677,Bank transfer,29
2958,4/24/2025,Semovita,Food,M,Lakowe,4/15/2023,3400,10,SO34559,Cash Payment,18
2448,5/14/2025,La Casera Apple Drink,Beverage,F,Oshodi,4/21/2023,350,3,SO22590,Debit card,79
1222,3/14/2025,Baby Towel,Baby Products,M,Ikeja,7/6/2024,9738,6,SO13073,Bank transfer,51
2943,4/24/2025,Bournvita,Beverage,F,Fagba,3/5/2022,1150,3,SO40986,Bank transfer,41
2270,3/28/2025,Golden Morn,Food,F,Lagos Island,3/24/2022,950,10,SO27990,Cash Payment,36
3812,5/25/2025,Bournvita,Beverage,M,Lakowe,6/18/2024,1150,5,SO33086,Cash Payment,65
1482,3/18/2025,Huggies Baby Wipes,Baby Products,M,Ikorodu,3/31/2025,8052,4,SO93577,Debit card,73
4720,5/1/2025,Huggies Baby Wipes,Baby Products,M,Agege,9/27/2024,8052,10,SO25425,Debit card,23
1344,4/26/2025,Dano Milk,Dairy,M,Fagba,6/2/2023,120,1,SO54768,Debit card,26
2397,2/1/2025,Morning Fresh Dishwash,Cleaning,M,Ketu,7/22/2023,1451,5,SO92989,Bank transfer,64
4182,5/26/2025,Baby Bath Set,Baby Products,M,Mafoluku,9/11/2024,7622,6,SO47098,Bank transfer,36
4487,1/2/2025,Bournvita,Beverage,F,Ikotun,3/6/2023,1150,9,SO95383,Cash Payment,66
3467,1/22/2025,Morning Fresh Dishwash,Cleaning,F,Ogba,2/26/2025,1451,9,SO40257,Bank transfer,45
2443,3/9/2025,Bournvita,Beverage,F,Oshodi,8/9/2023,1150,7,SO39610,Bank transfer,31
2749,5/21/2025,Oral-B Toothbrush,Personal Care,F,Fagba,2/4/2023,1147,4,SO95914,Cash Payment,72
4389,4/20/2025,Rechargeable Torch Light,Misc,F,Ilupeju,6/17/2023,5735,4,SO13962,Bank transfer,45
1674,4/19/2025,Bournvita,Beverage,F,Badore,4/1/2025,1150,6,SO73841,Cash Payment,34
4262,2/26/2025,MTN Airtime ?500,Airtime,M,Fagba,2/10/2024,500,8,SO28830,Cash Payment,74
2082,4/12/2025,Gala Sausage Roll,Snack,M,Ibeju lekki,10/29/2022,500,8,SO43670,Cash Payment,29
4494,3/23/2025,Power Bank,Electronics,M,Shomolu,12/27/2024,20000,6,SO64020,Debit card,75
2460,2/11/2025,Fayrouz,Beverage,F,Mafoluku,7/12/2024,500,1,SO62051,Debit card,31
4509,4/8/2025,Indomie Instant Noodles,Food,M,Fadeyi,8/1/2023,250,6,SO85579,Debit card,70
2267,1/15/2025,MTN Airtime ?500,Airtime,M,Mushin,1/28/2022,500,1,SO71400,Cash Payment,80
4891,1/14/2025,Golden Morn,Food,F,Iganmu,8/19/2022,950,8,SO40979,Debit card,42
3962,1/4/2025,Bournvita,Beverage,M,Oshodi,3/17/2022,1150,2,SO21467,Bank transfer,51
4964,2/19/2025,Gala Sausage Roll,Snack,M,Agege,11/23/2022,500,4,SO61707,Cash Payment,34
2914,3/20/2025,MTN Airtime ?500,Airtime,M,Shomolu,4/9/2024,500,5,SO50468,Bank transfer,32
2808,4/23/2025,Coca-Cola,Beverage,F,Iganmu,6/5/2024,500,4,SO11455,Bank transfer,74
1085,5/30/2025,Coca-Cola,Beverage,F,Ketu,10/18/2022,500,3,SO20619,Bank transfer,52
3808,3/1/2025,Golden Morn,Food,M,Ilupeju,4/11/2022,950,10,SO94913,Bank transfer,60
4149,2/2/2025,Beans,Food,F,Mafoluku,6/13/2023,12000,3,SO60578,Debit card,74
2331,3/14/2025,Beans,Food,M,Lagos Island,5/31/2022,12000,10,SO21353,Cash Payment,27
4475,2/1/2025,Maggi Cubes,Food Seasoning,F,Fagba,3/17/2025,700,10,SO63616,Bank transfer,40
2761,2/15/2025,Beans,Food,F,Yaba,1/27/2025,12000,3,SO40690,Debit card,38
2620,3/11/2025,Bournvita,Beverage,F,Ogba,6/2/2023,1150,2,SO33843,Cash Payment,60
3206,3/7/2025,Gala Sausage Roll,Snack,M,Fagba,1/3/2024,500,9,SO96820,Cash Payment,60
1226,5/20/2025,Earphones,Electronics,F,Agege,3/27/2023,13000,5,SO90401,Cash Payment,34
1395,1/8/2025,Phone Charger,Electronics,M,Festac town,3/10/2025,2404,9,SO41097,Debit card,37
2465,1/8/2025,Dove Body Wash,Personal Care,M,Iganmu,11/26/2023,1778,2,SO64638,Bank transfer,47
